number,Exponnorm_Off_peak,Exponnorm_Peak,Mean_OP,Mean_p,flow,Line,label,Off_peak_std_dev,Peak_std_dev,Off_peak_decay_rate,Peak_decay_rate
180,"(3.1194574568444091, 55.35303840748304, 21.10850849799693)","(2.3526419349535175, 69.77859159762102, 28.741850144943776)",121.2001326,137.3978735,695680,Line1,Med,69.14773279,73.4742216,0.015186699,0.014788681
51,"(3.756006010417209, 58.57177535638044, 22.9949450782544)","(3.405127976806485, 68.3242676203205, 27.312114158711246)",144.9409273,161.3255116,684630,Line1,Med,89.37783787,96.92875203,0.011578208,0.010752544
43,"(2.4918786854713377, 59.697543053993996, 21.00145511913689)","(2.2343677595111933, 72.01243067445517, 25.34009059961943)",112.0306214,128.6315121,604087,Line1,Med,56.38982363,62.03096466,0.019108373,0.01766189
49,"(5.737925597401747, 45.46803072355313, 15.301046967137765)","(4.302198952475143, 48.425947782235745, 22.704166052099154)",133.2642998,146.1037872,569505,Line1,Med,89.11962129,100.2818003,0.011390006,0.010237737
188,"(3.278992490177046, 47.86394153703485, 19.08794562715277)","(2.18007940443607, 75.11641262011528, 24.75366019640078)",110.4531719,129.0813574,326397,Line1,Low,65.43516964,59.3713648,0.01597719,0.018530548
189,"(2.85361519531601, 73.860780227513025, 19.518761631480693)","(2.1057478560850127, 71.22232532310339, 20.063399849714205)",129.554,113.7880301,207383,Line1,Low,58.774,46.77042323,0.01797,0.023669501
190,"(2.9401043808234973, 61.985302502192766, 23.848471390301455)","(2.657786792572162, 69.689914311464264, 20.92933793111652)",132.079496,121.1297647,150310,Line1,Low,74.264052,59.43279971,0.014941376,0.017977296
,,,,,,,,,,,
26,"(3.662046201900657, 63.53341179983667, 23.712699788192197)","(3.7151333966430204, 63.54211811023477, 23.75265720588117)",150.370414,151.7864082,4142142,Line2,High,90.01642673,91.38513801,0.011515828,0.011332178
25,"(3.2945201729765263, 59.15467727147512, 20.90910277218479)","(3.0509218970965906, 62.051230503131904, 22.209610665360863)",128.0401382,129.811018,2806587,Line2,High,68.96419784,71.30677113,0.014516851,0.014758016
17,"(2.7421483725772697, 81.04103828464108, 36.49666838628435)","(2.439773102914324, 105.65223638498463, 35.895923802399835)",181.1203181,191.1,2633431,Line2,High,106.5263773,94.64886455,0.009992078,0.011418405
21,"(3.775206511415782, 56.44829963765132, 19.995368859100115)","(3.3761043725786353, 67.78256678143748, 24.641356897440012)",131.9349464,150.9743595,2286311,Line2,High,78.09000325,86.76445617,0.013247376,0.012020417
33,"(3.0537018275944745, 59.874828181181186, 23.091343567247762)","(3.541482600470868, 65.37401685517617, 24.992734835126843)",130.3889062,153.8853524,2267481,Line2,High,74.19868834,91.9722421,0.014181565,0.011297988
30,"(3.6828838248968436, 60.36852236991851, 22.080211039351184)","(3.4450313107331203, 54.24686318519777, 19.445029290069208)",141.6873745,121.2355979,2045408,Line2,High,84.263227,69.75385112,0.012297271,0.014927883
24,"(3.173677193194717, 48.41132221627042, 22.681042406241218)","(3.0435200205081405, 57.35625108087828, 20.767016352602333)",120.3936292,120.5610811,2071603,Line2,High,72.05223625,66.52908768,0.013892303,0.015821576
2,"(3.4825296781006525, 65.64144803076866, 23.887754938680295)","(2.7363921424455415, 61.78728914629596, 23.52021200857294)",148.8312635,126.1478125,1828789,Line2,Med,86.55154673,68.52355315,0.012020702,0.015537475
28,"(3.657790885127202, 61.19844366399347, 22.28231573571093)","(3.4553001134858268, 54.79829651408622, 19.719973664628256)",142.7024951,122.9367238,1703572,Line2,Med,84.49504121,70.93463631,0.012269329,0.014676006
29,"(3.6546663186596096, 61.232160951067314, 22.293089320351097)","(3.112203158599966, 62.21496814314109, 23.648616801358976)",142.7059636,135.814268,1691457,Line2,Med,84.46870636,77.30532985,0.012273884,0.013587086
22,"(3.4848624168811217, 62.63010123098317, 21.65849357249997)","(3.526244646693965, 52.61975637394215, 16.68755896312142)",138.1069715,111.4641718,1607340,Line2,Med,78.52291568,61.16485801,0.013249092,0.016993966
40,"(3.032184758946546, 43.01749157392554, 20.796829742495866)","(5.1526781752461, 44.37383608059005, 12.774133721030953)",106.0773218,110.1948361,1446602,Line2,Med,66.40068004,67.04910542,0.015857956,0.01519272
27,"(2.9995787752712824, 58.42444510447308, 22.198372640272787)","(3.6749679194437634, 63.5150844171165, 23.414418582767595)",125.0102125,149.5623216,1441702,Line2,Med,70.18854729,89.17601705,0.015018224,0.011621524
36,"(3.0411761381310143, 61.9448063211925, 21.766352947799525)","(3.3869876670136407, 53.401570011964964, 24.949521800955416)",128.1401195,137.9052926,1250395,Line2,Med,69.68208959,88.10991873,0.01510681,0.011833798
31,"(3.7073217399717944, 55.50265825153078, 19.126260237167052)","(3.837385693902416, 59.46074935696905, 21.15909724975983)",126.4098586,140.6563664,1246864,Line2,Med,73.44143855,83.90730379,0.01410294,0.012315936
19,"(3.1803510929942957, 55.965702498692075, 18.710472226537327)","(3.6078834041594035, 63.61556427695989, 21.921535813564738)",115.4715733,142.7059095,1230431,Line2,Med,62.37812461,82.07214171,0.016805065,0.012643768
20,"(3.137343387888984, 56.20511355152743, 18.702397147634443)","(3.753233541447441, 62.119365343028385, 21.107699277465507)",114.8809556,141.3414903,1053624,Line2,Med,61.58436569,81.98585271,0.017042789,0.012622736
23,"(3.4742987345681904, 52.98575665901821, 17.394957913675054)","(3.487119517229845, 63.25318805311652, 22.22226870618423)",113.4210369,140.744895,956343,Line2,Med,62.88885165,80.61509702,0.016546626,0.012904607
18,"(2.3750442831880387, 81.30186890488325, 35.40383746058913)","(1.6584888547562797, 98.23735486078654, 48.27304580252294)",165.3875507,178.2976633,884583,Line2,Med,91.23504581,93.48764592,0.011892631,0.012490584
